x,y,z,vx,vy,vz,rho,press,tipo,mass
8.13933369 , 50.55733802 , 0.00000000 , -0.31852169 , 1.07363758 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
8.39537885 , 52.61551055 , 0.00000000 , -0.67305630 , 1.35312830 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
9.48731533 , 49.47599957 , 0.00000000 , 1.88411566 , 0.56622476 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.02442217 , 51.09459482 , 0.00000000 , -0.76837509 , 1.45005163 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
9.40339798 , 56.48100581 , 0.00000000 , 0.45545316 , 0.91015830 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
8.32881423 , 55.01985706 , 0.00000000 , 0.93747108 , 0.53713804 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
8.44621643 , 56.16408293 , 0.00000000 , 0.03282567 , -0.07751587 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
7.74857970 , 59.71573719 , 0.00000000 , 0.17320293 , 1.30997397 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
8.45535921 , 5.89944017 , 0.00000000 , -0.62091388 , 0.36042829 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
7.92752862 , 6.73419893 , 0.00000000 , -0.96641019 , -0.64871020 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
7.81427684 , 8.39944207 , 0.00000000 , 0.55566057 , -0.07392141 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
8.79401462 , 8.61597594 , 0.00000000 , 0.51970616 , -0.57363786 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
8.71192549 , 9.57484155 , 0.00000000 , -0.03724934 , 0.08541285 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
8.71701808 , 10.72115624 , 0.00000000 , 0.35607086 , -0.22903386 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
8.48050178 , 11.70344371 , 0.00000000 , 0.58512887 , 0.39997729 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
9.11745994 , 12.49362954 , 0.00000000 , -0.78162958 , 0.76964926 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
7.82180652 , 13.51361076 , 0.00000000 , -0.42916573 , 0.18817027 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
8.41952495 , 14.34262721 , 0.00000000 , 0.08417537 , 0.38217066 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
7.85118854 , 15.37028120 , 0.00000000 , -0.54345851 , -0.43109776 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
7.75711157 , 16.32305658 , 0.00000000 , -0.25579724 , -0.49430450 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
7.62035424 , 17.40290510 , 0.00000000 , 0.26742929 , 1.20389750 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
